ward_number,municipality,district,province
1,Shadanand Municipality,Bhojpur,Koshi Province
2,Shadanand Municipality,Bhojpur,Koshi Province
3,Shadanand Municipality,Bhojpur,Koshi Province
4,Shadanand Municipality,Bhojpur,Koshi Province
5,Shadanand Municipality,Bhojpur,Koshi Province
6,Shadanand Municipality,Bhojpur,Koshi Province
7,Shadanand Municipality,Bhojpur,Koshi Province
8,Shadanand Municipality,Bhojpur,Koshi Province
9,Shadanand Municipality,Bhojpur,Koshi Province
10,Shadanand Municipality,Bhojpur,Koshi Province
11,Shadanand Municipality,Bhojpur,Koshi Province
12,Shadanand Municipality,Bhojpur,Koshi Province
13,Shadanand Municipality,Bhojpur,Koshi Province
14,Shadanand Municipality,Bhojpur,Koshi Province
1,Bhojpur Municipality,Bhojpur,Koshi Province
2,Bhojpur Municipality,Bhojpur,Koshi Province
3,Bhojpur Municipality,Bhojpur,Koshi Province
4,Bhojpur Municipality,Bhojpur,Koshi Province
5,Bhojpur Municipality,Bhojpur,Koshi Province
6,Bhojpur Municipality,Bhojpur,Koshi Province
7,Bhojpur Municipality,Bhojpur,Koshi Province
8,Bhojpur Municipality,Bhojpur,Koshi Province
9,Bhojpur Municipality,Bhojpur,Koshi Province
10,Bhojpur Municipality,Bhojpur,Koshi Province
11,Bhojpur Municipality,Bhojpur,Koshi Province
12,Bhojpur Municipality,Bhojpur,Koshi Province
1,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
2,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
3,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
4,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
5,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
6,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
7,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
8,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
9,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
1,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
2,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
3,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
4,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
5,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
6,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
7,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
8,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
1,Aamchok Rural Municipality,Bhojpur,Koshi Province
2,Aamchok Rural Municipality,Bhojpur,Koshi Province
3,Aamchok Rural Municipality,Bhojpur,Koshi Province
4,Aamchok Rural Municipality,Bhojpur,Koshi Province
5,Aamchok Rural Municipality,Bhojpur,Koshi Province
6,Aamchok Rural Municipality,Bhojpur,Koshi Province
7,Aamchok Rural Municipality,Bhojpur,Koshi Province
8,Aamchok Rural Municipality,Bhojpur,Koshi Province
9,Aamchok Rural Municipality,Bhojpur,Koshi Province
10,Aamchok Rural Municipality,Bhojpur,Koshi Province
1,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
2,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
3,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
4,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
5,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
6,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
7,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
8,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
9,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
1,Arun Rural Municipality,Bhojpur,Koshi Province
2,Arun Rural Municipality,Bhojpur,Koshi Province
3,Arun Rural Municipality,Bhojpur,Koshi Province
4,Arun Rural Municipality,Bhojpur,Koshi Province
5,Arun Rural Municipality,Bhojpur,Koshi Province
6,Arun Rural Municipality,Bhojpur,Koshi Province
7,Arun Rural Municipality,Bhojpur,Koshi Province
1,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
2,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
3,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
4,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
5,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
6,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
1,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
2,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
3,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
4,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
5,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
6,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
1,Dhankuta Municipality,Dhankuta,Koshi Province
2,Dhankuta Municipality,Dhankuta,Koshi Province
3,Dhankuta Municipality,Dhankuta,Koshi Province
4,Dhankuta Municipality,Dhankuta,Koshi Province
5,Dhankuta Municipality,Dhankuta,Koshi Province
6,Dhankuta Municipality,Dhankuta,Koshi Province
7,Dhankuta Municipality,Dhankuta,Koshi Province
8,Dhankuta Municipality,Dhankuta,Koshi Province
9,Dhankuta Municipality,Dhankuta,Koshi Province
10,Dhankuta Municipality,Dhankuta,Koshi Province
1,Pakhribas Municipality,Dhankuta,Koshi Province
2,Pakhribas Municipality,Dhankuta,Koshi Province
3,Pakhribas Municipality,Dhankuta,Koshi Province
4,Pakhribas Municipality,Dhankuta,Koshi Province
5,Pakhribas Municipality,Dhankuta,Koshi Province
6,Pakhribas Municipality,Dhankuta,Koshi Province
7,Pakhribas Municipality,Dhankuta,Koshi Province
8,Pakhribas Municipality,Dhankuta,Koshi Province
9,Pakhribas Municipality,Dhankuta,Koshi Province
10,Pakhribas Municipality,Dhankuta,Koshi Province
1,Mahalaxmi Municipality,Dhankuta,Koshi Province
2,Mahalaxmi Municipality,Dhankuta,Koshi Province
3,Mahalaxmi Municipality,Dhankuta,Koshi Province
4,Mahalaxmi Municipality,Dhankuta,Koshi Province
5,Mahalaxmi Municipality,Dhankuta,Koshi Province
6,Mahalaxmi Municipality,Dhankuta,Koshi Province
7,Mahalaxmi Municipality,Dhankuta,Koshi Province
8,Mahalaxmi Municipality,Dhankuta,Koshi Province
9,Mahalaxmi Municipality,Dhankuta,Koshi Province
1,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
2,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
3,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
4,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
5,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
6,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
7,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
8,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
